"ROUNDQUANT"	"XGENDER1"	"STYLE"	"COLOR"	"XSPORT_ACTIVITY1"	"XSIZE1"	"UPC"	"NIKEPO"	"XCOLORBAR"	"ORDERNO"	"RFID"	"qrcode"	"OrderLineNo"	"__xcolorbar"	"rowno"
"1"	"MENS"	"IO0578"	"010"	"SPTCAS"	"M"	"198726781706"	"6201944546"	"BLUE"	"7500000QFY"	"30340C21184C568982AE4004"	"HTTPS://QR.NIKE.COM/04DDVNEBSXYXC"	"1"	"BLUE"	"57" 
"1"	"MENS"	"IO0578"	"010"	"SPTCAS"	"M"	"198726781706"	"6201944546"	"BLUE"	"7500000QFY"	"30340C21184C5689A3114404"	"HTTPS://QR.NIKE.COM/04AP7QWY1VCN9"	"1"	"BLUE"	"58" 
"1"	"MENS"	"IO0578"	"010"	"SPTCAS"	"M"	"198726781706"	"6201944546"	"BLUE"	"7500000QFY"	"30340C21184C5689EBE2C404"	"HTTPS://QR.NIKE.COM/045XN8FQYZE13"	"1"	"BLUE"	"59" 
"1"	"MENS"	"IO0578"	"010"	"SPTCAS"	"M"	"198726781706"	"6201944546"	"BLUE"	"7500000QFY"	"30340C21184C5689F3AD6004"	"HTTPS://QR.NIKE.COM/044A6WNV7XKN0"	"1"	"BLUE"	"60" 
"1"	"MENS"	"IO0578"	"010"	"SPTCAS"	"M"	"198726781706"	"6201944546"	"BLUE"	"7500000QFY"	"30340C21184C568A1FEC0804"	"HTTPS://QR.NIKE.COM/04BWQ3NR5BS7Y"	"1"	"BLUE"	"61" 
"1"	"MENS"	"IO0578"	"010"	"SPTCAS"	"M"	"198726781706"	"6201944546"	"BLUE"	"7500000QFY"	"30340C21184C568A73F16C04"	"HTTPS://QR.NIKE.COM/043CTNSD7JB0Q"	"1"	"BLUE"	"62" 
"1"	"MENS"	"IO0578"	"010"	"SPTCAS"	"M"	"198726781706"	"6201944546"	"BLUE"	"7500000QFY"	"30340C21184C568B44E9C004"	"HTTPS://QR.NIKE.COM/04YC59ZNFSVK9"	"1"	"BLUE"	"63" 
"1"	"MENS"	"IO0578"	"010"	"SPTCAS"	"M"	"198726781706"	"6201944546"	"BLUE"	"7500000QFY"	"30340C21184C568BF4A2D004"	"HTTPS://QR.NIKE.COM/043FXC8FK883W"	"1"	"BLUE"	"64" 
"1"	"MENS"	"IO0578"	"010"	"SPTCAS"	"M"	"198726781706"	"6201944546"	"BLUE"	"7500000QFY"	"30340C21184C568C4AA8D804"	"HTTPS://QR.NIKE.COM/0466BVS956W02"	"1"	"BLUE"	"65" 
"1"	"MENS"	"IO0578"	"010"	"SPTCAS"	"M"	"198726781706"	"6201944546"	"BLUE"	"7500000QFY"	"30340C21184C568CB7EEF804"	"HTTPS://QR.NIKE.COM/04FGFYENKWY3K"	"1"	"BLUE"	"66" 
"1"	"MENS"	"IO0578"	"010"	"SPTCAS"	"M"	"198726781706"	"6201944546"	"BLUE"	"7500000QFY"	"30340C21184C568CFEB2C004"	"HTTPS://QR.NIKE.COM/04P1EXRB2766T"	"1"	"BLUE"	"67" 
"1"	"MENS"	"IO0578"	"010"	"SPTCAS"	"M"	"198726781706"	"6201944546"	"BLUE"	"7500000QFY"	"30340C21184C568D0028F404"	"HTTPS://QR.NIKE.COM/04Y2R47PXEZZZ"	"1"	"BLUE"	"68" 
"1"	"MENS"	"IO0578"	"010"	"SPTCAS"	"M"	"198726781706"	"6201944546"	"BLUE"	"7500000QFY"	"30340C21184C568D43D50404"	"HTTPS://QR.NIKE.COM/04KS6PT795NCZ"	"1"	"BLUE"	"69" 
"1"	"MENS"	"IO0578"	"010"	"SPTCAS"	"M"	"198726781706"	"6201944546"	"BLUE"	"7500000QFY"	"30340C21184C568DA8043404"	"HTTPS://QR.NIKE.COM/04B7B7ZZCM7ZS"	"1"	"BLUE"	"70" 
