"ROUNDQUANT"	"STYLE"	"COLOR"	"XSPORT_ACTIVITY1"	"XSIZE1"	"XSIZE2"	"UPC"	"XGENDER1"	"XGENDER2"	"FACTORYCOD"	"COUNTRYCODE"	"XCOLORBAR"	"NIKEPO"	"XSPORT_ACTIVITY2"	"ORDERNO"	"RFID"	"qrcode"	"OrderLineNo"	"__xcolorbar"	"rowno"
"1"	"HJ0584"	"010"	"SPTCAS"	"L"	"G"	"197859559213"	"MENS"	"HOMME"	"SHK"	"03566"	"RED"	"4510752875"	"SPT LSR"	"7500000QA4"	"30340C138C369C67B5710404"	"HTTPS://QR.NIKE.COM/04A48P1J4DC8W"	"2"	"RED"	"57" 
"1"	"HJ0584"	"010"	"SPTCAS"	"L"	"G"	"197859559213"	"MENS"	"HOMME"	"SHK"	"03566"	"RED"	"4510752875"	"SPT LSR"	"7500000QA4"	"30340C138C369C644CDE8804"	"HTTPS://QR.NIKE.COM/04PG67BPTWM15"	"2"	"RED"	"58" 
"1"	"HJ0584"	"010"	"SPTCAS"	"L"	"G"	"197859559213"	"MENS"	"HOMME"	"SHK"	"03566"	"RED"	"4510752875"	"SPT LSR"	"7500000QA4"	"30340C138C369C5701BE7004"	"HTTPS://QR.NIKE.COM/04S3R7PHEASJ7"	"2"	"RED"	"59" 
"1"	"HJ0584"	"010"	"SPTCAS"	"L"	"G"	"197859559213"	"MENS"	"HOMME"	"SHK"	"03566"	"RED"	"4510752875"	"SPT LSR"	"7500000QA4"	"30340C138C369C4F8BE36804"	"HTTPS://QR.NIKE.COM/04F2EBSF681SW"	"2"	"RED"	"60" 
"1"	"HJ0584"	"010"	"SPTCAS"	"L"	"G"	"197859559213"	"MENS"	"HOMME"	"SHK"	"03566"	"RED"	"4510752875"	"SPT LSR"	"7500000QA4"	"30340C138C369C6E0364B404"	"HTTPS://QR.NIKE.COM/04HE6W5X0J821"	"2"	"RED"	"61" 
"1"	"HJ0584"	"010"	"SPTCAS"	"L"	"G"	"197859559213"	"MENS"	"HOMME"	"SHK"	"03566"	"RED"	"4510752875"	"SPT LSR"	"7500000QA4"	"30340C138C369C7CE57F8C04"	"HTTPS://QR.NIKE.COM/046V79CTH96B7"	"2"	"RED"	"62" 
"1"	"HJ0584"	"010"	"SPTCAS"	"L"	"G"	"197859559213"	"MENS"	"HOMME"	"SHK"	"03566"	"RED"	"4510752875"	"SPT LSR"	"7500000QA4"	"30340C138C369C4A95FD1C04"	"HTTPS://QR.NIKE.COM/04HK5Q7PY0CE4"	"2"	"RED"	"63" 
"1"	"HJ0584"	"010"	"SPTCAS"	"L"	"G"	"197859559213"	"MENS"	"HOMME"	"SHK"	"03566"	"RED"	"4510752875"	"SPT LSR"	"7500000QA4"	"30340C138C369C54B8723004"	"HTTPS://QR.NIKE.COM/04GFSRW27V889"	"2"	"RED"	"64" 
"1"	"HJ0584"	"010"	"SPTCAS"	"L"	"G"	"197859559213"	"MENS"	"HOMME"	"SHK"	"03566"	"RED"	"4510752875"	"SPT LSR"	"7500000QA4"	"30340C138C369C4F3524F804"	"HTTPS://QR.NIKE.COM/04TKHNQ9PC009"	"2"	"RED"	"65" 
"1"	"HJ0584"	"010"	"SPTCAS"	"L"	"G"	"197859559213"	"MENS"	"HOMME"	"SHK"	"03566"	"RED"	"4510752875"	"SPT LSR"	"7500000QA4"	"30340C138C369C6F3CEF0404"	"HTTPS://QR.NIKE.COM/045ADMMW88J1H"	"2"	"RED"	"66" 
