"ROUNDQUANT"	"XGENDER1"	"STYLE"	"COLOR"	"XRETAIL"	"XSIZE1"	"XSPORT_ACTIVITY1"	"UPC"	"XCOLORBAR"	"NIKEPO"	"ORDERNO"	"RFID"	"qrcode"	"OrderLineNo"	"__xcolorbar"	"rowno"
"1"	"MENS"	"II3143"	"072"	"$85.00"	"XXL"	"SPTCAS"	"198726782208"	"WHITE"	"6201951168"	"7500000QD6"	"30340C21184C63092CF5C404"	"HTTPS://QR.NIKE.COM/04XJGBHSDX8GT"	"1"	"WHITE"	"45" 
"1"	"MENS"	"II3143"	"072"	"$85.00"	"XXL"	"SPTCAS"	"198726782208"	"WHITE"	"6201951168"	"7500000QD6"	"30340C21184C63095A20E804"	"HTTPS://QR.NIKE.COM/04KXDYP9VTRVE"	"1"	"WHITE"	"46" 
"1"	"MENS"	"II3143"	"072"	"$85.00"	"XXL"	"SPTCAS"	"198726782208"	"WHITE"	"6201951168"	"7500000QD6"	"30340C21184C63097F417804"	"HTTPS://QR.NIKE.COM/042KY6858P60V"	"1"	"WHITE"	"47" 
"1"	"MENS"	"II3143"	"072"	"$85.00"	"XXL"	"SPTCAS"	"198726782208"	"WHITE"	"6201951168"	"7500000QD6"	"30340C21184C6309E7E52404"	"HTTPS://QR.NIKE.COM/04V5FKSARKFEJ"	"1"	"WHITE"	"48" 
"1"	"MENS"	"II3143"	"072"	"$85.00"	"XXL"	"SPTCAS"	"198726782208"	"WHITE"	"6201951168"	"7500000QD6"	"30340C21184C630A3D0B7404"	"HTTPS://QR.NIKE.COM/04HQ4PY6NA6VT"	"1"	"WHITE"	"49" 
"1"	"MENS"	"II3143"	"072"	"$85.00"	"XXL"	"SPTCAS"	"198726782208"	"WHITE"	"6201951168"	"7500000QD6"	"30340C21184C630A5C98B804"	"HTTPS://QR.NIKE.COM/04N0MHD46W4NY"	"1"	"WHITE"	"50" 
"1"	"MENS"	"II3143"	"072"	"$85.00"	"XXL"	"SPTCAS"	"198726782208"	"WHITE"	"6201951168"	"7500000QD6"	"30340C21184C630A7CF40404"	"HTTPS://QR.NIKE.COM/04AVD3EPHFQQD"	"1"	"WHITE"	"51" 
"1"	"MENS"	"II3143"	"072"	"$85.00"	"XXL"	"SPTCAS"	"198726782208"	"WHITE"	"6201951168"	"7500000QD6"	"30340C21184C630AB5E29004"	"HTTPS://QR.NIKE.COM/04TSKEBKZEN1A"	"1"	"WHITE"	"52" 
"1"	"MENS"	"II3143"	"072"	"$85.00"	"XXL"	"SPTCAS"	"198726782208"	"WHITE"	"6201951168"	"7500000QD6"	"30340C21184C630AC3922804"	"HTTPS://QR.NIKE.COM/04H7W252DEQRG"	"1"	"WHITE"	"53" 
"1"	"MENS"	"II3143"	"072"	"$85.00"	"XXL"	"SPTCAS"	"198726782208"	"WHITE"	"6201951168"	"7500000QD6"	"30340C21184C630AD9E58004"	"HTTPS://QR.NIKE.COM/04YKCSNAKN63K"	"1"	"WHITE"	"54" 
"1"	"MENS"	"II3143"	"072"	"$85.00"	"XXL"	"SPTCAS"	"198726782208"	"WHITE"	"6201951168"	"7500000QD6"	"30340C21184C630B44BC7804"	"HTTPS://QR.NIKE.COM/04XQJTT5KA24R"	"1"	"WHITE"	"55" 
"1"	"MENS"	"II3143"	"072"	"$85.00"	"XXL"	"SPTCAS"	"198726782208"	"WHITE"	"6201951168"	"7500000QD6"	"30340C21184C630B91598004"	"HTTPS://QR.NIKE.COM/04TC355Z54MEQ"	"1"	"WHITE"	"56" 
"1"	"MENS"	"II3143"	"072"	"$85.00"	"XXL"	"SPTCAS"	"198726782208"	"WHITE"	"6201951168"	"7500000QD6"	"30340C21184C630BB4A25804"	"HTTPS://QR.NIKE.COM/04743MSM2D51D"	"1"	"WHITE"	"57" 
"1"	"MENS"	"II3143"	"072"	"$85.00"	"XXL"	"SPTCAS"	"198726782208"	"WHITE"	"6201951168"	"7500000QD6"	"30340C21184C630BF9276004"	"HTTPS://QR.NIKE.COM/046ZQHMM4XVPA"	"1"	"WHITE"	"58" 
"1"	"MENS"	"II3143"	"072"	"$85.00"	"XXL"	"SPTCAS"	"198726782208"	"WHITE"	"6201951168"	"7500000QD6"	"30340C21184C630C1A875804"	"HTTPS://QR.NIKE.COM/04D460796W4A8"	"1"	"WHITE"	"59" 
"1"	"MENS"	"II3143"	"072"	"$85.00"	"XXL"	"SPTCAS"	"198726782208"	"WHITE"	"6201951168"	"7500000QD6"	"30340C21184C630C33E6BC04"	"HTTPS://QR.NIKE.COM/04SX8JGNCFKR7"	"1"	"WHITE"	"60" 
"1"	"MENS"	"II3143"	"072"	"$85.00"	"XXL"	"SPTCAS"	"198726782208"	"WHITE"	"6201951168"	"7500000QD6"	"30340C21184C630CD677BC04"	"HTTPS://QR.NIKE.COM/04YDZ78VA69SS"	"1"	"WHITE"	"61" 
"1"	"MENS"	"II3143"	"072"	"$85.00"	"XXL"	"SPTCAS"	"198726782208"	"WHITE"	"6201951168"	"7500000QD6"	"30340C21184C630D0B34D804"	"HTTPS://QR.NIKE.COM/0469DXYVMCE8D"	"1"	"WHITE"	"62" 
"1"	"MENS"	"II3143"	"072"	"$85.00"	"XXL"	"SPTCAS"	"198726782208"	"WHITE"	"6201951168"	"7500000QD6"	"30340C21184C630D1A4E0804"	"HTTPS://QR.NIKE.COM/048X3YH0QQ36V"	"1"	"WHITE"	"63" 
"1"	"MENS"	"II3143"	"072"	"$85.00"	"XXL"	"SPTCAS"	"198726782208"	"WHITE"	"6201951168"	"7500000QD6"	"30340C21184C630D49BA5804"	"HTTPS://QR.NIKE.COM/0460R4W7PCME8"	"1"	"WHITE"	"64" 
"1"	"MENS"	"II3143"	"072"	"$85.00"	"XXL"	"SPTCAS"	"198726782208"	"WHITE"	"6201951168"	"7500000QD6"	"30340C21184C630DC7A11004"	"HTTPS://QR.NIKE.COM/04J9HW15CAAEG"	"1"	"WHITE"	"65" 
"1"	"MENS"	"II3143"	"072"	"$85.00"	"XXL"	"SPTCAS"	"198726782208"	"WHITE"	"6201951168"	"7500000QD6"	"30340C21184C630DE8C4E404"	"HTTPS://QR.NIKE.COM/04ZXNG5VBB2DJ"	"1"	"WHITE"	"66" 
"1"	"MENS"	"II3143"	"072"	"$85.00"	"XXL"	"SPTCAS"	"198726782208"	"WHITE"	"6201951168"	"7500000QD6"	"30340C21184C630DEF0E5804"	"HTTPS://QR.NIKE.COM/04A0CTCHEZJ68"	"1"	"WHITE"	"67" 
"1"	"MENS"	"II3143"	"072"	"$85.00"	"XXL"	"SPTCAS"	"198726782208"	"WHITE"	"6201951168"	"7500000QD6"	"30340C21184C630DFEC40004"	"HTTPS://QR.NIKE.COM/04RQFN6RTC1FY"	"1"	"WHITE"	"68" 
"1"	"MENS"	"II3143"	"072"	"$85.00"	"XXL"	"SPTCAS"	"198726782208"	"WHITE"	"6201951168"	"7500000QD6"	"30340C21184C630E43C83004"	"HTTPS://QR.NIKE.COM/04BJGDK28HWCT"	"1"	"WHITE"	"69" 
"1"	"MENS"	"II3143"	"072"	"$85.00"	"XXL"	"SPTCAS"	"198726782208"	"WHITE"	"6201951168"	"7500000QD6"	"30340C21184C630EB90E9404"	"HTTPS://QR.NIKE.COM/04DGY41WC55NE"	"1"	"WHITE"	"70" 
"1"	"MENS"	"II3143"	"072"	"$85.00"	"XXL"	"SPTCAS"	"198726782208"	"WHITE"	"6201951168"	"7500000QD6"	"30340C21184C630ECE593004"	"HTTPS://QR.NIKE.COM/045VKC0X87EM1"	"1"	"WHITE"	"71" 
"1"	"MENS"	"II3143"	"072"	"$85.00"	"XXL"	"SPTCAS"	"198726782208"	"WHITE"	"6201951168"	"7500000QD6"	"30340C21184C630EE1F16804"	"HTTPS://QR.NIKE.COM/047TF1Q0EH4T9"	"1"	"WHITE"	"72" 
"1"	"MENS"	"II3143"	"072"	"$85.00"	"XXL"	"SPTCAS"	"198726782208"	"WHITE"	"6201951168"	"7500000QD6"	"30340C21184C630F4A6D7C04"	"HTTPS://QR.NIKE.COM/04TE5D4WNRAAR"	"1"	"WHITE"	"73" 
"1"	"MENS"	"II3143"	"072"	"$85.00"	"XXL"	"SPTCAS"	"198726782208"	"WHITE"	"6201951168"	"7500000QD6"	"30340C21184C630FBE360404"	"HTTPS://QR.NIKE.COM/04VEPZ4TH3RGF"	"1"	"WHITE"	"74" 
"1"	"MENS"	"II3143"	"072"	"$85.00"	"XXL"	"SPTCAS"	"198726782208"	"WHITE"	"6201951168"	"7500000QD6"	"30340C21184C630FCF57B804"	"HTTPS://QR.NIKE.COM/04ESZQ6YA4AV9"	"1"	"WHITE"	"75" 
"1"	"MENS"	"II3143"	"072"	"$85.00"	"XXL"	"SPTCAS"	"198726782208"	"WHITE"	"6201951168"	"7500000QD6"	"30340C21184C630FE9FBC404"	"HTTPS://QR.NIKE.COM/0444X65RR1QT4"	"1"	"WHITE"	"76" 
"1"	"MENS"	"II3143"	"072"	"$85.00"	"XXL"	"SPTCAS"	"198726782208"	"WHITE"	"6201951168"	"7500000QD6"	"30340C21184C6310372F0C04"	"HTTPS://QR.NIKE.COM/045MQ59EFBG6T"	"1"	"WHITE"	"77" 
"1"	"MENS"	"II3143"	"072"	"$85.00"	"XXL"	"SPTCAS"	"198726782208"	"WHITE"	"6201951168"	"7500000QD6"	"30340C21184C63109CD6E004"	"HTTPS://QR.NIKE.COM/0477W6J35WVW8"	"1"	"WHITE"	"78" 
"1"	"MENS"	"II3143"	"072"	"$85.00"	"XXL"	"SPTCAS"	"198726782208"	"WHITE"	"6201951168"	"7500000QD6"	"30340C21184C6310FE20A404"	"HTTPS://QR.NIKE.COM/04P1XMWC1TR36"	"1"	"WHITE"	"79" 
"1"	"MENS"	"II3143"	"072"	"$85.00"	"XXL"	"SPTCAS"	"198726782208"	"WHITE"	"6201951168"	"7500000QD6"	"30340C21184C6311857E2004"	"HTTPS://QR.NIKE.COM/04BRH2EAYS4WE"	"1"	"WHITE"	"80" 
"1"	"MENS"	"II3143"	"072"	"$85.00"	"XXL"	"SPTCAS"	"198726782208"	"WHITE"	"6201951168"	"7500000QD6"	"30340C21184C6311A282B004"	"HTTPS://QR.NIKE.COM/046YTTH1MFS1V"	"1"	"WHITE"	"81" 
"1"	"MENS"	"II3143"	"072"	"$85.00"	"XXL"	"SPTCAS"	"198726782208"	"WHITE"	"6201951168"	"7500000QD6"	"30340C21184C6311AAE90404"	"HTTPS://QR.NIKE.COM/04ZFKRKX56AX5"	"1"	"WHITE"	"82" 
"1"	"MENS"	"II3143"	"072"	"$85.00"	"XXL"	"SPTCAS"	"198726782208"	"WHITE"	"6201951168"	"7500000QD6"	"30340C21184C6311E0B07C04"	"HTTPS://QR.NIKE.COM/04CPZ7VMS9645"	"1"	"WHITE"	"83" 
"1"	"MENS"	"II3143"	"072"	"$85.00"	"XXL"	"SPTCAS"	"198726782208"	"WHITE"	"6201951168"	"7500000QD6"	"30340C21184C6311E9C3B404"	"HTTPS://QR.NIKE.COM/04XGAQ14YQ07N"	"1"	"WHITE"	"84" 
"1"	"MENS"	"II3143"	"072"	"$85.00"	"XXL"	"SPTCAS"	"198726782208"	"WHITE"	"6201951168"	"7500000QD6"	"30340C21184C631214D08804"	"HTTPS://QR.NIKE.COM/04HE5GS5QNHKC"	"1"	"WHITE"	"85" 
"1"	"MENS"	"II3143"	"072"	"$85.00"	"XXL"	"SPTCAS"	"198726782208"	"WHITE"	"6201951168"	"7500000QD6"	"30340C21184C6312959B4804"	"HTTPS://QR.NIKE.COM/044NBQ44ATSX3"	"1"	"WHITE"	"86" 
"1"	"MENS"	"II3143"	"072"	"$85.00"	"XXL"	"SPTCAS"	"198726782208"	"WHITE"	"6201951168"	"7500000QD6"	"30340C21184C63129C184004"	"HTTPS://QR.NIKE.COM/04HG8F4EATTRQ"	"1"	"WHITE"	"87" 
"1"	"MENS"	"II3143"	"072"	"$85.00"	"XXL"	"SPTCAS"	"198726782208"	"WHITE"	"6201951168"	"7500000QD6"	"30340C21184C6312D94ECC04"	"HTTPS://QR.NIKE.COM/041XPDF80VE56"	"1"	"WHITE"	"88" 
"1"	"MENS"	"II3143"	"072"	"$85.00"	"XXL"	"SPTCAS"	"198726782208"	"WHITE"	"6201951168"	"7500000QD6"	"30340C21184C631330945004"	"HTTPS://QR.NIKE.COM/04D6F8ZSPRKY5"	"1"	"WHITE"	"89" 
"1"	"MENS"	"II3143"	"072"	"$85.00"	"XXL"	"SPTCAS"	"198726782208"	"WHITE"	"6201951168"	"7500000QD6"	"30340C21184C631353E41004"	"HTTPS://QR.NIKE.COM/04N86B125BKJV"	"1"	"WHITE"	"90" 
"1"	"MENS"	"II3143"	"072"	"$85.00"	"XXL"	"SPTCAS"	"198726782208"	"WHITE"	"6201951168"	"7500000QD6"	"30340C21184C63137186A804"	"HTTPS://QR.NIKE.COM/04V1AYJERFAQK"	"1"	"WHITE"	"91" 
"1"	"MENS"	"II3143"	"072"	"$85.00"	"XXL"	"SPTCAS"	"198726782208"	"WHITE"	"6201951168"	"7500000QD6"	"30340C21184C6313A446EC04"	"HTTPS://QR.NIKE.COM/04C67VP4PGE6G"	"1"	"WHITE"	"92" 
"1"	"MENS"	"II3143"	"072"	"$85.00"	"XXL"	"SPTCAS"	"198726782208"	"WHITE"	"6201951168"	"7500000QD6"	"30340C21184C6313BB504C04"	"HTTPS://QR.NIKE.COM/041B2J91YT6AR"	"1"	"WHITE"	"93" 
"1"	"MENS"	"II3143"	"072"	"$85.00"	"XXL"	"SPTCAS"	"198726782208"	"WHITE"	"6201951168"	"7500000QD6"	"30340C21184C6313C4377804"	"HTTPS://QR.NIKE.COM/04S89N9E4RZXT"	"1"	"WHITE"	"94" 
"1"	"MENS"	"II3143"	"072"	"$85.00"	"XXL"	"SPTCAS"	"198726782208"	"WHITE"	"6201951168"	"7500000QD6"	"30340C21184C6313CF257804"	"HTTPS://QR.NIKE.COM/04EJ2PAQY4KKY"	"1"	"WHITE"	"95" 
"1"	"MENS"	"II3143"	"072"	"$85.00"	"XXL"	"SPTCAS"	"198726782208"	"WHITE"	"6201951168"	"7500000QD6"	"30340C21184C6313D075CC04"	"HTTPS://QR.NIKE.COM/04XGH2A3PHE47"	"1"	"WHITE"	"96" 
"1"	"MENS"	"II3143"	"072"	"$85.00"	"XXL"	"SPTCAS"	"198726782208"	"WHITE"	"6201951168"	"7500000QD6"	"30340C21184C6313E5D52404"	"HTTPS://QR.NIKE.COM/04XYP3VE7K6TC"	"1"	"WHITE"	"97" 
"1"	"MENS"	"II3143"	"072"	"$85.00"	"XXL"	"SPTCAS"	"198726782208"	"WHITE"	"6201951168"	"7500000QD6"	"30340C21184C6314035BF804"	"HTTPS://QR.NIKE.COM/043KT0WFZDF0V"	"1"	"WHITE"	"98" 
"1"	"MENS"	"II3143"	"072"	"$85.00"	"XXL"	"SPTCAS"	"198726782208"	"WHITE"	"6201951168"	"7500000QD6"	"30340C21184C631425A68804"	"HTTPS://QR.NIKE.COM/04CAETT6MY9F9"	"1"	"WHITE"	"99" 
